Date of Launch,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
2021-04-27,Qilu 4,Qilu 4,NR (5/21),China,Shandong Institutes of Industrial Technology,Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,495.0,510.0,0.00109,97.4,94.7,100.0,,,2021-04-27,,Shandong Institutes of Industrial Technology,China,Taiyuan Launch Center,Long March 6,2021-033B,48249.0,Earth observation - optical imaging.
2021-04-26,"Keyhole 9 (NRO L82, Advanced KH-11, Evolved Improved Crystal Block F2, USA 314)",USA 314,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,524.0,758.0,0.0167,98.2,97.9,20000.0,,,2021-04-26,5.0,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2021-032A,48247.0,Surveillance of satellites in LEO.
2021-03-30,Gaofen 12-02,Gaofen 12-02,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,634.0,637.0,0.000214,97.8,97.3,3000.0,,,2021-03-30,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-026A,48079.0,"Will assist in land surveys, urban planning, and agriculture monitoring. "
2021-03-22,Veery Hatchling v.0.2 ,Veery Hatchling v.2,USA,USA,Care Weather Technologies,Civil,Earth Observation,Meteorology,LEO,NON-POLAR INCLINED,0.0,538.0,558.0,0.00145,45.0,95.6,1.0,,,2021-03-22,,Care Weather Technologies/Brigham Young University,USA,Rocket Lab Launch Complex 1,Electron,2021-023A,47965.0,Pave the way for a fleet of nanosatellites providing wind measurements over the worldÕs oceans.
2021-03-22,NANOSATC-BR2,NANOSATC-BR2,NR,Brazil,"Brazilian National Institute of Space Research (INPE/MCTI), Federal University of Santa Maria (UFSM)",Government/Civil,Earth Observation,Earth Science,LEO,SUN-SYNCHRONOUS,0.0,534.0,557.0,0.00166,97.6,94.5,3.0,,,2021-03-22,,"Brazilian National Institute of Space Research (INPE/MCTI), Federal University of Santa Maria (UFSM)",Brazil,Baikonur Cosmodrome,Soyuz-2.1a,2021-022X,47953.0,Designed for monitoring of the EarthÕs Ionosphere and Magnetic Field
2021-03-22,BlackSky Global 9,BlackSky Global 9,USA,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,NON-POLAR INCLINED,0.0,448.0,460.0,0.000879,45.0,93.7,56.0,,,2021-03-22,,LeoStella,USA,Rocket Lab Launch Complex 1,Electron,2021-023G,47971.0,
2021-03-22,CAS500-1,CAS500-1,South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Multispectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,494.0,509.0,0.00109,97.4,94.6,500.0,,,2021-03-22,,Korea Aerospace Research Institute (KARI),South Korea,Baikonur Cosmodrome,Soyuz-2.1a,2021-022A,47932.0,Provide high-resolution color and multispectral imagery of the Earth.Ê
2021-03-22,DMSat-1 (Dubai Municipality Satellite),DMSat-1,NR (5/21),United Arab Emirates,Mohammend Bin Rashid Space Centre (MBRSC),Government,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,536.0,564.0,0.00202,97.6,95.6,15.0,,,2021-03-22,,UNITAS Space Flight Laboratory (SFL),Canada,Baikonur Cosmodrome,Soyuz-2.1b,2021-022J,47940.0,Perform multi-spectral observations in the visible and near-infrared bands in order to detect and monitor aerosols in the upper atmosphere.
2021-03-22,GRUS-1B,GRUS-1B,Japan,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,579.0,604.0,0.0018,97.7,96.5,100.0,,,2021-03-22,5.0,Axelspace,Japan,Baikonur Cosmodrome,Soyuz-2.1a,2021-022C,47934.0,
2021-03-22,GRUS-1C,GRUS-1C,Japan,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,579.0,604.0,0.0018,97.7,96.5,100.0,,,2021-03-22,5.0,Axelspace,Japan,Baikonur Cosmodrome,Soyuz-2.1a,2021-022B,47933.0,
2021-03-22,GRUS-1D,GRUS-1D,Japan,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,579.0,604.0,0.0018,97.7,96.5,100.0,,,2021-03-22,5.0,Axelspace,Japan,Baikonur Cosmodrome,Soyuz-2.1a,2021-022E,47936.0,
2021-03-22,GRUS-1E,GRUS-1E,Japan,Japan,Axelspace,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,578.0,604.0,0.00187,97.7,96.5,100.0,,,2021-03-22,5.0,Axelspace,Japan,Baikonur Cosmodrome,Soyuz-2.1a,2021-022D,47935.0,
2021-03-22,Gunsmoke-J1     ,Gunsmoke-J1     ,USA,USA,U.S. ArmyÕs Space and Missile Defense Command,Military,Earth Observation,,LEO,NON-POLAR INCLINED,0.0,547.0,558.0,0.000795,45.0,95.7,5.0,,,2021-03-22,,U.S. ArmyÕs Space and Missile Defense Command/TSEPT,USA,Rocket Lab Launch Complex 1,Electron,2021-023E,47969.0,Demonstrate advanced information collection in direct support of the Army combat operations.
2021-03-13,Yaogan 31-4-1 (Remote Sensing Satellite 31-4-1),Yaogan 31-4-1,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1092.0,1098.0,0.000402,63.4,107.1,500.0,,,2021-03-13,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-020A,47854.0,Sensing surveillance of satellites in LEO.
2021-03-13,Yaogan 31-4-2 (Remote Sensing Satellite 31-4-2),Yaogan 31-4-2,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1090.0,1095.0,0.000335,63.5,107.2,500.0,,,2021-03-13,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-020C,47856.0,Sensing surveillance of satellites in LEO.
2021-03-13,Yaogan 31-4-3 (Remote Sensing Satellite 31-4-3),Yaogan 31-4-3,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1090.0,1096.0,0.000402,63.5,107.5,500.0,,,2021-03-13,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-020D,47857.0,Sensing surveillance of satellites in LEO.
2021-02-28,Arktika-M1,Arktika-M1,Russia,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Meteorology,ELLIPTICAL,,0.0,1025.0,39754.0,0.724,63.3,717.8,2200.0, 780 ,"2,000.00",2021-02-28,7.0,NPO Lavochkin,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2021-016A,47719.0,"Monitoring of environmental conditions, and also provide reliable communications and navigation across this inhospitable region."
2021-02-28,Amazonia-1 (SSR-1),Amazonia-1,Brazil,Brazil,National Institute for Space Research (INPE),Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,761.0,764.0,0.00021,98.5,99.9,637.0,,,2021-02-28,4.0,National Institute for Space Research (INPE),Brazil,Satish Dhawan Space Centre,PSLV,2021-015A,47699.0,First earth observation satellite produced entirely by Brazil.
2021-02-27,Yaogan 31-3-1 (Remote Sensing Satellite 31-3-1),Yaogan 31-3-1,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1080.0,1100.0,0.00134,63.4,107.5,,,,2021-02-27,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-014A,47691.0,Independent analysts believe the Yaogan 31 satellites have a maritime reconnaissance missionÊhelping Chinese military authorities track foreign naval movements.
2021-02-27,Yaogan 31-3-2 (Remote Sensing Satellite 31-3-2),Yaogan 31-3-2,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1080.0,1100.0,0.00134,63.4,107.5,,,,2021-02-27,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-014C,47693.0,Sensing surveillance of satellites in LEO.
2021-02-27,Yaogan 31-3-3 (Remote Sensing Satellite 31-3-3),Yaogan 31-3-3,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1080.0,1100.0,0.00134,63.4,107.5,,,,2021-02-27,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-014E,47695.0,Sensing surveillance of satellites in LEO.
2021-02-20,Gunsmoke-J2,Gunsmoke-J2,USA,USA,U.S. ArmyÕs Space and Missile Defense Command,Military,Earth Observation,,LEO,NON-POLAR INCLINED,0.0,487.0,503.0,0.00117,51.6,95.7,5.0,,,2021-02-20,,U.S. Army's Space and Missile Defense Command/TSEPT,USA,Wallops Island Flight Facility,Cygnus,2021-013D,49014.0,Demonstrate advanced information collection in direct support of the Army combat operations.
2021-02-02,Lotos-S1 805 (Cosmos 2549),Cosmos 2549,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,901.0,909.0,0.00055,67.1,103.09,5000.0,,,2021-02-02,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2021-008A,47546.0,Electronic intelligence gathering (ELINT).
2021-01-29,Yaogan 32-2-2 (Remote Sensing Satellite 32-2-2),Yaogan 32-2-2,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1090.0,1096.0,0.000402,63.4,107.1,,,,2021-01-29,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-007B,47533.0,Sensing surveillance of satellites in LEO.
2021-01-29,Yaogan 32-2-3 (Remote Sensing Satellite 32-2-3),Yaogan 32-2-3,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1090.0,1095.0,0.000335,63.4,107.1,,,,2021-01-29,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-007E,47536.0,Sensing surveillance of satellites in LEO.
2021-01-29,Yaogan 32-2-1 (Remote Sensing Satellite 32-2-1),Yaogan 32-2-1,NR (5/21),China,Chinese Ministry of National Defense,Military,Earth Observation,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,1091.0,1096.0,0.000335,63.4,107.1,,,,2021-01-29,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2021-007A,47532.0,Sensing surveillance of satellites in LEO.
2021-01-24,Dove 4s-28 (0 Flock 4s-28 2460),Dove 4s-28 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,515.0,534.0,0.00138,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DE ,47514.0,
2021-01-24,Dove 4s-42 (0 Flock 4s-42 2430),Dove 4s-42 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,538.0,0.0013,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EQ ,47612.0,
2021-01-24,Dove 4s-43 (0 Flock 4s-43 2435),Dove 4s-43 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,533.0,0.00087,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EN ,47687.0,
2021-01-24,Dove 4s-3 (0 Flock 4s-3 2433),Dove 4s-3 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,519.0,535.0,0.00116,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CK ,47494.0,
2021-01-24,Dove 4s-30 (0 Flock 4s-30 2459),Dove 4s-30 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,527.0,535.0,0.00058,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EE ,47544.0,
2021-01-24,Dove 4s-31 (0 Flock 4s-31 241B) ,Dove 4s-31 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,525.0,537.0,0.000869,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BQ ,47475.0,
2021-01-24,Dove 4s-33 (0 Flock 4s-33 2420),Dove 4s-33 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,535.0,0.000652,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BJ ,47469.0,
2021-01-24,Dove 4s-34 (0 Flock 4s-34 2464),Dove 4s-34 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,527.0,535.0,0.00058,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BS ,47477.0,
2021-01-24,Dove 4s-44 (0 Flock 4s-44 2440),Dove 4s-44 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,519.0,537.0,0.0013,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EM ,47686.0,
2021-01-24,Dove 4s-45 (0 Flock 4s-45 2442),Dove 4s-45 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,523.0,541.0,0.0013,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EP ,47688.0,
2021-01-24,Dove 4s-46 (0 Flock 4s-46 2444),Dove 4s-46 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,533.0,0.00087,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EK ,47684.0,
2021-01-24,Dove 4s-47 (0 Flock 4s-47 2456),Dove 4s-47 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,537.0,0.000797,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EL ,47685.0,
2021-01-24,Dove 4s-48 (0 Flock 4s-48 2465),Dove 4s-48 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,524.0,536.0,0.00087,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EJ ,47617.0,
2021-01-24,Dove 4s-5 (0 Flock 4s-5 2423),Dove 4s-5 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DF ,47515.0,
2021-01-24,Dove 4s-6 (0 Flock 4s-6 2455),Dove 4s-6 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,527.0,535.0,0.00058,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DJ ,47518.0,
2021-01-24,Dove 4s-7 (0 Flock 4s-7 2451),Dove 4s-7 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,527.0,535.0,0.00058,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DT ,47527.0,
2021-01-24,Dove 4s-27 (0 Flock 4s-27 2457),Dove 4s-27 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,537.0,0.000797,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CL ,47495.0,
2021-01-24,Dove 4s-24 (0 Flock 4s-24 2431),Dove 4s-24 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DZ ,47539.0,
2021-01-24,Dove 4s-25 (0 Flock 4s-25 2448),Dove 4s-25 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,535.0,0.000652,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EC ,47542.0,
2021-01-24,Dove 4s-16 (0 Flock 4s-16 2434),Dove 4s-16 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DG ,47516.0,
2021-01-24,Dove 4s-1 (0 Flock 4s-1 2436),Dove 4s-1 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,519.0,535.0,0.00116,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006ED ,47543.0,
2021-01-24,Dove 4s-10 (0 Flock 4s-10 2449),Dove 4s-10 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DP ,47523.0,
2021-01-24,Dove 4s-11 (0 Flock 4s-11 2445),Dove 4s-11 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BB ,47462.0,
2021-01-24,Dove 4s-12 (0 Flock 4s-12 241A),Dove 4s-12 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BL ,47471.0,
2021-01-24,Dove 4s-13 (0 Flock 4s-13 2453),Dove 4s-13 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BM ,47472.0,
2021-01-24,Dove 4s-14 (0 Flock 4s-14 241F),Dove 4s-14 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DU ,47528.0,
2021-01-24,Dove 4s-15 (0 Flock 4s-15 242F),Dove 4s-15 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DM ,47521.0,
2021-01-24,Dove 4s-17 (0 Flock 4s-17 2432),Dove 4s-17 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,522.0,535.0,0.000942,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CH ,47492.0,
2021-01-24,Dove 4s-9 (0 Flock 4s-9 2447),Dove 4s-9 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BT ,47478.0,
2021-01-24,Dove 4s-18 (0 Flock 4s-18 2421),Dove 4s-18 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CM ,47496.0,
2021-01-24,Dove 4s-19 (0 Flock 4s-19 242D),Dove 4s-19 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,535.0,0.00109,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CR ,47500.0,
2021-01-24,Dove 4s-2 (0 Flock 4s-2 2428),Dove 4s-2 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,519.0,535.0,0.00116,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CP ,47498.0,
2021-01-24,Dove 4s-20 (0 Flock 4s-20 2439),Dove 4s-20 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EA ,47540.0,
2021-01-24,Dove 4s-21 (0 Flock 4s-21 245C),Dove 4s-21 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006AV ,47456.0,
2021-01-24,Dove 4s-22 (0 Flock 4s-22 421E),Dove 4s-22 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006AR ,47452.0,
2021-01-24,Dove 4s-23 (0 Flock 4s-23 245D),Dove 4s-23 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,520.0,536.0,0.00116,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006EF ,47545.0,
2021-01-24,Dove 4s-8 (0 Flock 4s-8 2450),Dove 4s-8 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,527.0,535.0,0.00058,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006BP ,47474.0,
2021-01-24,GHGSat-C2 (Hugo),GHGSat-C2,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,528.0,535.0,0.000507,97.5,95.2,15.0, 15 ,,2021-01-24,,GHGSat,Canada,Cape Canaveral,Falcon 9,2021-006DA,47509.0,
2021-01-24,Dove 4s-39 (0 Flock 4s-39 2458),Dove 4s-39 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,523.0,535.0,0.00087,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006CF ,47490.0,
2021-01-24,Dove 4s-36 (0 Flock 4s-36 241D),Dove 4s-36 ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,535.0,0.000652,97.5,95.2,4.0,,,2021-01-24,3.0,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2021-006DW ,47530.0,
2021-01-24,Lemur-2 Neva (Lemur 2F133),Lemur 2F133,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,96.5,95.2,10.0,,,2021-01-24,,Spire Global,USA,Cape Canaveral,Falcon 9,2021-006AP,47450.0,Lemur surveillance of satellites in LEO.
2021-01-24,Lemur-2 NoobNoob,Lemur 2F134,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,10.0,,,2021-01-24,,Spire Global,USA,Cape Canaveral,Falcon 9,2021-006DY,47538.0, Lemur surveillance of satellites in LEO.
2021-01-24,Lemur-2 Ruairi-Elidh Ð 2021-006DC,Lemur 2F135,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,10.0,,,2021-01-24,,Spire Global,USA,Cape Canaveral,Falcon 9,2021-006DC,47511.0,Elidh surveillance of satellites or LEO.
2021-01-24,Lemur-2 SaoirseDH5Guo (Lemur 2F136),Lemur 2F136,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,521.0,535.0,0.00101,97.5,95.2,10.0,,,2021-01-24,,Spire Global,USA,Cape Canaveral,Falcon 9,2021-006AS,47453.0,Guo surveillance of satellites or LEO.
